cid,class,class_ZH
0,ak47,ak47
1,american-flag,美国国旗
2,backpack,背包
3,baseball-bat,棒球棒
4,baseball-glove,棒球手套
5,basketball-hoop,篮球圈
6,bat,蝙蝠
7,bathtub,浴缸
8,bear,熊
9,beer-mug,啤酒杯
10,billiards,台球
11,binoculars,双筒望远镜
12,birdbath,水浴
13,blimp,飞艇
14,bonsai-101,bonsai-101
15,boom-box,吊杆箱
16,bowling-ball,保龄球
17,bowling-pin,保龄球针
18,boxing-glove,拳击手套
19,brain-101,大脑-101
20,breadmaker,面包机
21,buddha-101,佛陀-101
22,bulldozer,推土机
23,butterfly,蝴蝶
24,cactus,仙人掌
25,cake,蛋糕
26,calculator,计算器
27,camel,骆驼
28,cannon,加农炮
29,canoe,独木舟
30,car-tire,汽车轮胎
31,cartman,卡特曼
32,cd,cd
33,centipede,蜈蚣
34,cereal-box,谷物盒
35,chandelier-101,吊灯-101
36,chess-board,国际象棋棋盘
37,chimp,黑猩猩
38,chopsticks,筷子
39,cockroach,蟑螂
40,coffee-mug,咖啡杯
41,coffin,棺材
42,coin,硬币
43,comet,彗星
44,computer-keyboard,电脑键盘
45,computer-monitor,计算机显示器
46,computer-mouse,电脑鼠标
47,conch,海螺
48,cormorant,鸬鹚
49,covered-wagon,覆盖货车
50,cowboy-hat,牛仔帽
51,crab-101,螃蟹-101
52,desk-globe,桌面地球仪
53,diamond-ring,钻石戒指
54,dice,骰子
55,dog,狗
56,dolphin-101,海豚-101
57,doorknob,门把手
58,drinking-straw,吸管
59,duck,鸭子
60,dumb-bell,哑铃
61,eiffel-tower,埃菲尔铁塔
62,electric-guitar-101,电吉他101
63,elephant-101,大象-101
64,elk,麋鹿
65,ewer-101,ewer-101
66,eyeglasses,眼镜
67,fern,蕨类植物
68,fighter-jet,战斗机
69,fire-extinguisher,灭火器
70,fire-hydrant,消火栓
71,fire-truck,消防车
72,fireworks,烟花
73,flashlight,手电筒
74,floppy-disk,软盘
75,football-helmet,足球头盔
76,french-horn,法国号
77,fried-egg,煎蛋
78,frisbee,飞盘
79,frog,青蛙
80,frying-pan,煎锅
81,galaxy,银河
82,gas-pump,气泵
83,giraffe,长颈鹿
84,goat,山羊
85,golden-gate-bridge,金门大桥
86,goldfish,金鱼
87,golf-ball,高尔夫球
88,goose,鹅
89,gorilla,大猩猩
90,grand-piano-101,三角钢琴-101
91,grapes,葡萄
92,grasshopper,蚱蜢
93,guitar-pick,吉他拨片
94,hamburger,汉堡
95,hammock,吊床
96,harmonica,口琴
97,harp,竖琴
98,harpsichord,大键琴
99,hawksbill-101,霍克斯比尔-101
100,head-phones,耳机
101,helicopter-101,直升机-101
102,hibiscus,芙蓉
103,homer-simpson,荷马-辛普森
104,horse,马
105,horseshoe-crab,马蹄蟹
106,hot-air-balloon,热气球
107,hot-dog,热狗
108,hot-tub,热水浴缸
109,hourglass,沙漏
110,house-fly,house-fly
111,human-skeleton,人体骨骼
112,hummingbird,蜂鸟
113,ibis-101,ibis-101
114,ice-cream-cone,冰淇淋蛋卷
115,iguana,鬣蜥
116,ipod,ipod
117,iris,虹膜
118,jesus-christ,耶稣基督
119,joy-stick,快乐棒
120,kangaroo-101,袋鼠-101
121,kayak,皮划艇
122,ketch-101,ketch-101
123,killer-whale,虎鲸
124,knife,刀
125,ladder,梯子
126,laptop-101,laptop-101
127,lathe,车床
128,leopards-101,豹子-101
129,license-plate,车牌
130,lightbulb,灯泡
